Start datum,Eind datum,Verbruik in kW/h
05-12-2023 11:15,05-12-2023 11:30,0.838000
05-12-2023 11:30,05-12-2023 11:45,0.700000
05-12-2023 11:45,05-12-2023 12:00,0.738000
05-12-2023 12:00,05-12-2023 12:15,0.762000
05-12-2023 12:15,05-12-2023 12:30,0.788000
05-12-2023 12:30,05-12-2023 12:45,0.750000
05-12-2023 12:45,05-12-2023 13:00,0.800000
05-12-2023 13:00,05-12-2023 13:15,0.912000
05-12-2023 13:15,05-12-2023 13:30,0.962000
05-12-2023 13:30,05-12-2023 13:45,0.962000
05-12-2023 13:45,05-12-2023 14:00,1.025000
05-12-2023 14:00,05-12-2023 14:15,0.900000
05-12-2023 14:15,05-12-2023 14:30,1.050000
05-12-2023 14:30,05-12-2023 14:45,0.850000
05-12-2023 14:45,05-12-2023 15:00,1.012000
05-12-2023 15:00,05-12-2023 15:15,1.038000
05-12-2023 15:15,05-12-2023 15:30,1.012000
05-12-2023 15:30,05-12-2023 15:45,1.025000
05-12-2023 15:45,05-12-2023 16:00,1.062000
05-12-2023 16:00,05-12-2023 16:15,1.100000
05-12-2023 16:15,05-12-2023 16:30,1.112000
05-12-2023 16:30,05-12-2023 16:45,1.225000
05-12-2023 16:45,05-12-2023 17:00,1.200000
05-12-2023 17:00,05-12-2023 17:15,0.988000
05-12-2023 17:15,05-12-2023 17:30,0.975000
05-12-2023 17:30,05-12-2023 17:45,1.012000
05-12-2023 17:45,05-12-2023 18:00,0.988000
05-12-2023 18:00,05-12-2023 18:15,1.000000
05-12-2023 18:15,05-12-2023 18:30,1.012000
05-12-2023 18:30,05-12-2023 18:45,1.000000
05-12-2023 18:45,05-12-2023 19:00,0.975000
05-12-2023 19:00,05-12-2023 19:15,0.988000
05-12-2023 19:15,05-12-2023 19:30,0.938000
05-12-2023 19:30,05-12-2023 19:45,0.988000
05-12-2023 19:45,05-12-2023 20:00,0.975000
05-12-2023 20:00,05-12-2023 20:15,0.988000
05-12-2023 20:15,05-12-2023 20:30,0.950000
05-12-2023 20:30,05-12-2023 20:45,0.988000
05-12-2023 20:45,05-12-2023 21:00,0.975000
05-12-2023 21:00,05-12-2023 21:15,0.962000
05-12-2023 21:15,05-12-2023 21:30,0.962000
05-12-2023 21:30,05-12-2023 21:45,0.962000
05-12-2023 21:45,05-12-2023 22:00,0.950000
05-12-2023 22:00,05-12-2023 22:15,0.925000
05-12-2023 22:15,05-12-2023 22:30,0.962000
05-12-2023 22:30,05-12-2023 22:45,0.975000
05-12-2023 22:45,05-12-2023 23:00,0.962000
05-12-2023 23:00,05-12-2023 23:15,0.938000
05-12-2023 23:15,05-12-2023 23:30,0.962000
05-12-2023 23:30,05-12-2023 23:45,0.962000
05-12-2023 23:45,06-12-2023 00:00,0.975000
06-12-2023 00:00,06-12-2023 00:15,0.950000
06-12-2023 00:15,06-12-2023 00:30,0.950000
06-12-2023 00:30,06-12-2023 00:45,0.950000
06-12-2023 00:45,06-12-2023 01:00,0.962000
06-12-2023 01:00,06-12-2023 01:15,0.925000
06-12-2023 01:15,06-12-2023 01:30,0.962000
06-12-2023 01:30,06-12-2023 01:45,0.950000
06-12-2023 01:45,06-12-2023 02:00,0.938000
06-12-2023 02:00,06-12-2023 02:15,0.950000
06-12-2023 02:15,06-12-2023 02:30,0.938000
06-12-2023 02:30,06-12-2023 02:45,0.938000
06-12-2023 02:45,06-12-2023 03:00,0.988000
06-12-2023 03:00,06-12-2023 03:15,1.025000
06-12-2023 03:15,06-12-2023 03:30,1.000000
06-12-2023 03:30,06-12-2023 03:45,1.025000
06-12-2023 03:45,06-12-2023 04:00,1.000000
06-12-2023 04:00,06-12-2023 04:15,1.012000
06-12-2023 04:15,06-12-2023 04:30,0.975000
06-12-2023 04:30,06-12-2023 04:45,1.012000
06-12-2023 04:45,06-12-2023 05:00,1.062000
06-12-2023 05:00,06-12-2023 05:15,1.050000
06-12-2023 05:15,06-12-2023 05:30,1.000000
06-12-2023 05:30,06-12-2023 05:45,1.038000
06-12-2023 05:45,06-12-2023 06:00,1.025000
06-12-2023 06:00,06-12-2023 06:15,1.025000
06-12-2023 06:15,06-12-2023 06:30,1.050000
06-12-2023 06:30,06-12-2023 06:45,1.038000
06-12-2023 06:45,06-12-2023 07:00,1.038000
06-12-2023 07:00,06-12-2023 07:15,1.038000
06-12-2023 07:15,06-12-2023 07:30,1.050000
06-12-2023 07:30,06-12-2023 07:45,1.062000
06-12-2023 07:45,06-12-2023 08:00,1.050000
06-12-2023 08:00,06-12-2023 08:15,1.062000
06-12-2023 08:15,06-12-2023 08:30,1.100000
06-12-2023 08:30,06-12-2023 08:45,1.100000
06-12-2023 08:45,06-12-2023 09:00,1.012000
06-12-2023 09:00,06-12-2023 09:15,1.062000
